epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17356.9,1.92196,1.03275,0.80366,0.80436,0.82453,0.79844,0.31341,1.90241,1.07099,0.79931,0.0011882,0.0011882,0.0011882
43,17793.5,1.93378,1.0328,0.80665,0.81857,0.80323,0.80108,0.31542,1.91567,1.04137,0.79713,0.0011684,0.0011684,0.0011684
44,18180,1.93198,1.03152,0.80756,0.80931,0.80014,0.78118,0.30659,1.99934,1.04163,0.80455,0.0011486,0.0011486,0.0011486
45,18595.8,1.92949,1.04648,0.80529,0.81097,0.79604,0.78456,0.29439,1.95287,1.03849,0.80238,0.0011288,0.0011288,0.0011288
46,19003,1.95296,1.04314,0.80727,0.80273,0.77967,0.78223,0.29724,1.94214,1.0474,0.80241,0.001109,0.001109,0.001109
47,19383.2,1.89163,1.02601,0.79831,0.81074,0.79741,0.79773,0.3132,1.90585,1.03705,0.80167,0.0010892,0.0010892,0.0010892
48,19776.7,1.89686,1.02782,0.80438,0.81066,0.80082,0.79537,0.31445,1.93803,1.02963,0.80204,0.0010694,0.0010694,0.0010694
49,20172.7,1.93409,0.99568,0.80211,0.81093,0.79285,0.80351,0.31689,1.92123,1.02219,0.7985,0.0010496,0.0010496,0.0010496
50,20505.5,1.90147,1.01111,0.80179,0.80895,0.80004,0.80312,0.31791,1.90079,1.01686,0.80126,0.0010298,0.0010298,0.0010298
51,20849,1.89644,0.99596,0.80572,0.82422,0.79263,0.80907,0.3176,1.91765,1.0113,0.80339,0.00101,0.00101,0.00101
52,21190.5,1.86827,1.01965,0.80559,0.82897,0.81241,0.8235,0.32066,1.9353,1.00561,0.80131,0.0009902,0.0009902,0.0009902
53,21565.4,1.89263,0.98954,0.80489,0.83612,0.81089,0.81757,0.31785,1.95893,1.02064,0.80033,0.0009704,0.0009704,0.0009704
54,21957,1.82356,0.97882,0.7976,0.82026,0.82742,0.80514,0.31186,1.95668,1.02653,0.80334,0.0009506,0.0009506,0.0009506
55,22353.4,1.85966,0.99573,0.80328,0.81275,0.83198,0.80723,0.31536,1.9145,1.01659,0.80033,0.0009308,0.0009308,0.0009308
56,22748.6,1.82533,0.99504,0.79602,0.80031,0.82196,0.80051,0.31883,1.89081,1.00794,0.79878,0.000911,0.000911,0.000911
57,23131.3,1.84263,0.98503,0.80539,0.81251,0.82674,0.80601,0.3129,1.95991,1.01109,0.8028,0.0008912,0.0008912,0.0008912
